'Onion Chutney', 'Mango Chutney', 'Plain Papadum', 'Kulcha Naan', 'Pilau Rice', 'Onion Rice', 'Sheek Kehab', 'Aloo Chaat', 'Bombay Aloo', 'Pathia',,,,,,,,,,,,,,,,,,,
'Mint Sauce', 'Onion Chutney', 'Plain Papadum', 'Peshwari Naan', 'Special Fried Rice', 'Chana Chaat', 'Saag Aloo', 'Chicken Tikka Masala',,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Mint Sauce', 'Plain Papadum', 'Pilau Rice', 'Keema Naan', 'Onion Bhaji', 'Chicken Tikka Masala',,,,,,,,,,,,,,,,,,,,,,
'Onion Chutney', 'Mango Chutney', 'Plain Papadum', 'Garlic Naan', 'Prawn Puree', 'Vegetable Samba', 'Chicken Tikka Pasanda', 'Lamb Shashlick Curry',,,,,,,,,,,,,,,,,,,,,
'Chapati', 'Tandoori Fish Jalfrezi',,,,,,,,,,,,,,,,,,,,,,,,,,,
'Garlic Naan', 'Mushroom Rice', 'Dupiaza', 'King Prawn Shaslick',,,,,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Pilau Rice', 'Saag Aloo', 'Kurma', 'Chicken Tikka Masala',,,,,,,,,,,,,,,,,,,,,,,,
'Pilau Rice', 'Keema Naan', 'Paratha', 'Bombay Aloo', 'Dhansak',,,,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Plain Rice', 'Mini Bhaji', 'Madras',,,,,,,,,,,,,,,,,,,,,,,,,
'Vegetable Curry', 'Saag Dall', 'Chilli Paneer',,,,,,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Mint Sauce', 'Onion Chutney', 'Lime Pickle', 'Plain Papadum', 'Naan', 'Pilau Rice', 'Garlic Naan', 'Onion Bhaji', 'Vegetable Curry', 'Chicken Tikka Masala', 'Kurma',,,,,,,,,,,,,,,,,
'Plain Papadum', 'Pilau Rice', 'Peshwari Naan', 'Mini Bhaji', 'Saag Aloo', 'Curry', 'Chicken Karahi', 'Kurma', 'Chicken Biryani',,,,,,,,,,,,,,,,,,,,
'Pilau Rice', 'Garlic Naan', 'Curry Sauce', 'Onion Rice', 'Bombay Aloo', 'Chicken Tikka Masala', 'Kurma', 'Chicken Tikka Biryani',,,,,,,,,,,,,,,,,,,,,
'Saag Aloo', 'Chicken Biryani', 'Vegetable Biryani',,,,,,,,,,,,,,,,,,,,,,,,,,
'Tandoori Roti', 'Plain Rice', 'Sheek Kehab', 'Butter Chicken', 'King Prawn Royal',,,,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Plain Rice', 'Garlic Naan', 'Bombay Aloo', 'Cauliflower Bhajee', 'Mushroom Bhajee', 'Chicken Tikka Masala', 'Chicken Tikka Biryani',,,,,,,,,,,,,,,,,,,,,
'Plain Rice', 'Mushroom Rice', 'Chicken Tikka Masala', 'Chicken Tikka Jalfrezi',,,,,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Onion Bhaji', 'Chicken Chaat', 'Bombay Aloo',,,,,,,,,,,,,,,,,,,,,,,,,
'Pilau Rice', 'Garlic Naan', 'Peshwari Naan', 'Onion Bhaji', 'Chana Chaat', 'Muttar Paneer', 'Madras', 'Lamb Karahi',,,,,,,,,,,,,,,,,,,,,
'Naan', 'Garlic Naan', 'Peshwari Naan', 'Plain Rice', 'Mushroom Rice', 'Onion Bhaji', 'Bombay Aloo', 'Saag Aloo', 'Curry', 'Chicken Tikka (Main)', 'Sheek Kebab (Main)', 'Chicken Tikka Masala', 'Paneer Tikka Masala', 'Kurma',,,,,,,,,,,,,,,
'Mango Chutney', 'Onion Chutney', 'Plain Papadum', 'Garlic Naan', 'Onion Rice', 'Onion Bhaji', 'Dupiaza',,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Bombay Aloo', 'Curry', 'Madras',,,,,,,,,,,,,,,,,,,,,,,,,
'Mint Sauce', 'Plain Papadum', 'Pilau Rice', 'Keema Naan', 'Peshwari Naan', 'Onion Bhaji', 'Vegetable Samosa', 'Saag Aloo', 'Kurma', 'Chicken Tikka Masala',,,,,,,,,,,,,,,,,,,
'Plain Papadum', 'Garlic Naan', 'Plain Rice', 'Aloo Chaat', 'Tarka Dall', 'Royal Paneer', 'Muttar Paneer',,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Plain Papadum', 'Chapati', 'Pilau Rice', 'Bombay Aloo', 'Butter Chicken',,,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Pilau Rice', 'Saag Aloo', 'Lamb Tikka Masala',,,,,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Onion Chutney', 'Mint Sauce', 'Red Sauce', 'Plain Papadum', 'Garlic Naan', 'Keema Naan', 'Pilau Rice', 'Chana Chaat', 'Saag Aloo', 'Lamb Biryani',,,,,,,,,,,,,,,,,,
